Date : 2025-08-06 20:29:01
Directory : /home/ysh/LSM/leveldb
Total : 533 files,  110987 codes, 29563 comments, 24774 blanks, all 165324 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/samples/sample2.cc                                      | C++              |         14 |         33 |          8 |         55 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/samples/sample2.h                                       | C++              |         22 |         43 |         16 |         81 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/samples/sample2_unittest.cc                             | C++              |         30 |         64 |         14 |        108 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/samples/sample3-inl.h                                   | C++              |         86 |         57 |         30 |        173 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/samples/sample3_unittest.cc                             | C++              |         49 |         83 |         18 |        150 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/samples/sample4.cc                                      | C++              |         15 |         33 |          7 |         55 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/samples/sample4.h                                       | C++              |         12 |         34 |          8 |         54 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/samples/sample4_unittest.cc                             | C++              |         12 |         32 |         10 |         54 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/samples/sample5_unittest.cc                             | C++              |         70 |         98 |         29 |        197 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/samples/sample6_unittest.cc                             | C++              |         85 |         99 |         34 |        218 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/samples/sample7_unittest.cc                             | C++              |         52 |         50 |         16 |        118 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/samples/sample8_unittest.cc                             | C++              |         77 |         60 |         18 |        155 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/samples/sample9_unittest.cc                             | C++              |         83 |         52 |         22 |        157 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/scripts/README.md                                       | Markdown         |          4 |          0 |          2 |          6 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/scripts/common.py                                       | Python           |         27 |         36 |         21 |         84 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/scripts/fuse_gtest_files.py                             | Python           |         98 |        106 |         50 |        254 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/scripts/gen_gtest_pred_impl.py                          | Python           |        341 |        294 |         99 |        734 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/scripts/release_docs.py                                 | Python           |         56 |         79 |         24 |        159 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/scripts/run_with_path.py                                | Python           |         13 |         11 |          9 |         33 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/scripts/upload.py                                       | Python           |        949 |        348 |        106 |      1,403 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/scripts/upload_gtest.py                                 | Python           |         25 |         42 |         12 |         79 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/src/gtest-all.cc                                        | C++              |          9 |         36 |          4 |         49 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/src/gtest-death-test.cc                                 | C++              |      1,061 |        369 |        215 |      1,645 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/src/gtest-filepath.cc                                   | C++              |        231 |        104 |         35 |        370 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/src/gtest-internal-inl.h                                | C++              |        591 |        417 |        214 |      1,222 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/src/gtest-matchers.cc                                   | C++              |         30 |         52 |         16 |         98 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/src/gtest-port.cc                                       | C++              |        970 |        255 |        190 |      1,415 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/src/gtest-printers.cc                                   | C++              |        337 |        127 |         70 |        534 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/src/gtest-test-part.cc                                  | C++              |         55 |         36 |         18 |        109 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/src/gtest-typed-test.cc                                 | C++              |         58 |         33 |         17 |        108 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/src/gtest.cc                                            | C++              |      4,553 |      1,303 |        891 |      6,747 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/src/gtest_main.cc                                       | C++              |         20 |         28 |          7 |         55 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-break-on-failure-unittest.py            | Python           |         94 |         72 |         43 |        209 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-break-on-failure-unittest_.cc           | C++              |         26 |         47 |         14 |         87 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-catch-exceptions-test.py                | Python           |        146 |         58 |         33 |        237 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-catch-exceptions-test_.cc               | C++              |        202 |         37 |         55 |        294 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-color-test.py                           | Python           |         64 |         38 |         26 |        128 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-color-test_.cc                          | C++              |         16 |         38 |          9 |         63 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-death-test-test.cc                      | C++              |      1,033 |        248 |        262 |      1,543 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-death-test_ex_test.cc                   | C++              |         42 |         37 |         14 |         93 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-env-var-test.py                         | Python           |         55 |         37 |         29 |        121 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-env-var-test_.cc                        | C++              |         74 |         33 |         26 |        133 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-failfast-unittest.py                    | Python           |        283 |         71 |         57 |        411 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-failfast-unittest_.cc                   | C++              |         73 |         42 |         53 |        168 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-filepath-test.cc                        | C++              |        468 |         81 |        101 |        650 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-filter-unittest.py                      | Python           |        347 |        155 |        138 |        640 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-filter-unittest_.cc                     | C++              |         59 |         44 |         35 |        138 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-global-environment-unittest.py          | Python           |         15 |         44 |         14 |         73 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-global-environment-unittest_.cc         | C++              |         14 |         35 |         10 |         59 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-json-outfiles-test.py                   | Python           |        140 |         34 |         18 |        192 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-json-output-unittest.py                 | Python           |        721 |         92 |         36 |        849 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-list-tests-unittest.py                  | Python           |        114 |         85 |          7 |        206 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-list-tests-unittest_.cc                 | C++              |         73 |         43 |         41 |        157 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-listener-test.cc                        | C++              |        414 |         43 |         62 |        519 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-message-test.cc                         | C++              |         83 |         51 |         25 |        159 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-options-test.cc                         | C++              |        152 |         41 |         27 |        220 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-output-test.py                          | Python           |        212 |        123 |         12 |        347 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-output-test_.cc                         | C++              |        677 |        223 |        209 |      1,109 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-param-test-invalid-name1-test.py        | Python           |         16 |         32 |         16 |         64 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-param-test-invalid-name1-test_.cc       | C++              |         14 |         28 |          9 |         51 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-param-test-invalid-name2-test.py        | Python           |         16 |         32 |         15 |         63 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-param-test-invalid-name2-test_.cc       | C++              |         18 |         28 |         10 |         56 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-param-test-test.cc                      | C++              |        740 |        192 |        188 |      1,120 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-param-test-test.h                       | C++              |          9 |         37 |          6 |         52 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-param-test2-test.cc                     | C++              |         11 |         43 |          8 |         62 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-port-test.cc                            | C++              |        962 |         94 |        221 |      1,277 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-printers-test.cc                        | C++              |      1,367 |        290 |        306 |      1,963 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-setuptestsuite-test.py                  | Python           |         15 |         31 |          9 |         55 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-setuptestsuite-test_.cc                 | C++              |         15 |         28 |          7 |         50 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-shuffle-test.py                         | Python           |        193 |         71 |         60 |        324 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-shuffle-test_.cc                        | C++              |         47 |         35 |         20 |        102 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-test-part-test.cc                       | C++              |        149 |         47 |         35 |        231 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-throw-on-failure-test.py                | Python           |         73 |         60 |         36 |        169 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-throw-on-failure-test_.cc               | C++              |         17 |         45 |         10 |         72 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-uninitialized-test.py                   | Python           |         20 |         33 |         15 |         68 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/googletest-uninitialized-test_.cc                  | C++              |          6 |         32 |          5 |         43 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest-typed-test2_test.cc                          | C++              |          5 |         31 |          5 |         41 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest-typed-test_test.cc                           | C++              |        249 |         98 |         91 |        438 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest-typed-test_test.h                            | C++              |         18 |         32 |         11 |         61 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest-unittest-api_test.cc                         | C++              |        223 |         47 |         59 |        329 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_all_test.cc                                  | C++              |         12 |         33 |          2 |         47 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_assert_by_exception_test.cc                  | C++              |         62 |         38 |         17 |        117 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_environment_test.cc                          | C++              |        104 |         58 |         27 |        189 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_help_test.py                                 | Python           |         76 |         66 |         31 |        173 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_help_test_.cc                                | C++              |          7 |         33 |          6 |         46 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_json_test_utils.py                           | Python           |         18 |         38 |          5 |         61 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_list_output_unittest.py                      | Python           |        221 |         51 |         15 |        287 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_list_output_unittest_.cc                     | C++              |         29 |         38 |         11 |         78 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_main_unittest.cc                             | C++              |          5 |         32 |          8 |         45 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_no_test_unittest.cc                          | C++              |          6 |         43 |          6 |         55 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_pred_impl_unittest.cc                        | C++              |      1,743 |        433 |        247 |      2,423 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_premature_exit_test.cc                       | C++              |         60 |         47 |         20 |        127 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_prod_test.cc                                 | C++              |         15 |         34 |          8 |         57 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_repeat_test.cc                               | C++              |        133 |         52 |         49 |        234 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_skip_check_output_test.py                    | Python           |         14 |         36 |         10 |         60 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_skip_environment_check_output_test.py        | Python           |         10 |         36 |          9 |         55 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_skip_in_environment_setup_test.cc            | C++              |         12 |         31 |          7 |         50 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_skip_test.cc                                 | C++              |         18 |         31 |          7 |         56 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_sole_header_test.cc                          | C++              |         18 |         31 |          8 |         57 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_stress_test.cc                               | C++              |        141 |         67 |         41 |        249 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_test_macro_stack_footprint_test.cc           | C++              |         39 |         42 |          9 |         90 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_test_utils.py                                | Python           |        133 |        122 |         58 |        313 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_testbridge_test.py                           | Python           |         19 |         31 |         14 |         64 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_testbridge_test_.cc                          | C++              |          5 |         32 |          7 |         44 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_throw_on_failure_ex_test.cc                  | C++              |         36 |         42 |         13 |         91 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_unittest.cc                                  | C++              |      5,359 |      1,093 |      1,333 |      7,785 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_xml_outfile1_test_.cc                        | C++              |          9 |         31 |          4 |         44 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_xml_outfile2_test_.cc                        | C++              |          9 |         31 |          4 |         44 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_xml_outfiles_test.py                         | Python           |         83 |         35 |         18 |        136 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_xml_output_unittest.py                       | Python           |        292 |         85 |         39 |        416 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_xml_output_unittest_.cc                      | C++              |        116 |         44 |         34 |        194 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/gtest_xml_test_utils.py                            | Python           |         99 |         83 |         16 |        198 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/production.cc                                      | C++              |          2 |         30 |          4 |         36 |
| /home/ysh/LSM/leveldb/third_party/googletest/googletest/test/production.h                                       | C++              |         14 |         32 |          9 |         55 |
| /home/ysh/LSM/leveldb/third_party/googletest/library.json                                                       | JSON             |         62 |          0 |          1 |         63 |
| /home/ysh/LSM/leveldb/util/arena.cc                                                                             | C++              |         48 |          7 |         12 |         67 |
| /home/ysh/LSM/leveldb/util/arena.h                                                                              | C++              |         39 |         16 |         17 |         72 |
| /home/ysh/LSM/leveldb/util/arena_test.cc                                                                        | C++              |         48 |          6 |          8 |         62 |
| /home/ysh/LSM/leveldb/util/bloom.cc                                                                             | C++              |         62 |         13 |         18 |         93 |
| /home/ysh/LSM/leveldb/util/bloom_test.cc                                                                        | C++              |        122 |          7 |         26 |        155 |
| /home/ysh/LSM/leveldb/util/cache.cc                                                                             | C++              |        299 |         53 |         50 |        402 |
| /home/ysh/LSM/leveldb/util/cache_test.cc                                                                        | C++              |        173 |         11 |         41 |        225 |
| /home/ysh/LSM/leveldb/util/coding.cc                                                                            | C++              |        134 |          6 |         17 |        157 |
| /home/ysh/LSM/leveldb/util/coding.h                                                                             | C++              |         72 |         28 |         23 |        123 |
| /home/ysh/LSM/leveldb/util/coding_test.cc                                                                       | C++              |        162 |          7 |         25 |        194 |
| /home/ysh/LSM/leveldb/util/comparator.cc                                                                        | C++              |         55 |          7 |         14 |         76 |
| /home/ysh/LSM/leveldb/util/crc32c.cc                                                                            | C++              |        322 |         28 |         31 |        381 |
| /home/ysh/LSM/leveldb/util/crc32c.h                                                                             | C++              |         19 |         14 |         11 |         44 |
| /home/ysh/LSM/leveldb/util/crc32c_test.cc                                                                       | C++              |         39 |          4 |         14 |         57 |
| /home/ysh/LSM/leveldb/util/env.cc                                                                               | C++              |         82 |          5 |         22 |        109 |
| /home/ysh/LSM/leveldb/util/env_posix.cc                                                                         | C++              |        680 |        117 |        133 |        930 |
| /home/ysh/LSM/leveldb/util/env_posix_test.cc                                                                    | C++              |        234 |         58 |         62 |        354 |
| /home/ysh/LSM/leveldb/util/env_posix_test_helper.h                                                              | C++              |         12 |          8 |          9 |         29 |
| /home/ysh/LSM/leveldb/util/env_test.cc                                                                          | C++              |        198 |          9 |         42 |        249 |
| /home/ysh/LSM/leveldb/util/env_windows.cc                                                                       | C++              |        626 |         74 |        120 |        820 |
| /home/ysh/LSM/leveldb/util/env_windows_test.cc                                                                  | C++              |         46 |          8 |         12 |         66 |
| /home/ysh/LSM/leveldb/util/env_windows_test_helper.h                                                            | C++              |         12 |          6 |          8 |         26 |
| /home/ysh/LSM/leveldb/util/filter_policy.cc                                                                     | C++              |          4 |          3 |          5 |         12 |
| /home/ysh/LSM/leveldb/util/hash.cc                                                                              | C++              |         37 |          9 |         10 |         56 |
| /home/ysh/LSM/leveldb/util/hash.h                                                                               | C++              |          8 |          5 |          7 |         20 |
| /home/ysh/LSM/leveldb/util/hash_test.cc                                                                         | C++              |         32 |          3 |          7 |         42 |
| /home/ysh/LSM/leveldb/util/histogram.cc                                                                         | C++              |        251 |          6 |         16 |        273 |
| /home/ysh/LSM/leveldb/util/histogram.h                                                                          | C++              |         28 |          3 |         14 |         45 |
| /home/ysh/LSM/leveldb/util/logging.cc                                                                           | C++              |         59 |          7 |         17 |         83 |
| /home/ysh/LSM/leveldb/util/logging.h                                                                            | C++              |         16 |         16 |         13 |         45 |
| /home/ysh/LSM/leveldb/util/logging_test.cc                                                                      | C++              |        113 |          3 |         25 |        141 |
| /home/ysh/LSM/leveldb/util/mutexlock.h                                                                          | C++              |         18 |         12 |         10 |         40 |
| /home/ysh/LSM/leveldb/util/no_destructor.h                                                                      | C++              |         34 |          6 |         11 |         51 |
| /home/ysh/LSM/leveldb/util/no_destructor_test.cc                                                                | C++              |         28 |          4 |         13 |         45 |
| /home/ysh/LSM/leveldb/util/options.cc                                                                           | C++              |          6 |          3 |          6 |         15 |
| /home/ysh/LSM/leveldb/util/posix_logger.h                                                                       | C++              |         80 |         28 |         23 |        131 |
| /home/ysh/LSM/leveldb/util/random.h                                                                             | C++              |         29 |         24 |         11 |         64 |
| /home/ysh/LSM/leveldb/util/status.cc                                                                            | C++              |         66 |          3 |          9 |         78 |
| /home/ysh/LSM/leveldb/util/status_test.cc                                                                       | C++              |         24 |          4 |         12 |         40 |
| /home/ysh/LSM/leveldb/util/testutil.cc                                                                          | C++              |         36 |          6 |         10 |         52 |
| /home/ysh/LSM/leveldb/util/testutil.h                                                                           | C++              |         53 |         14 |         16 |         83 |
| /home/ysh/LSM/leveldb/util/windows_logger.h                                                                     | C++              |         76 |         27 |         22 |        125 |
| Total                                                                                                           |                  |    110,987 |     29,563 |     24,774 |    165,324 |
+-----------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
